badge_name,id,reference_id,reference_type,badge_group_id,enabled,points,highest_points,created_at,updated_at,deleted_at
Full Time,213,,,43,TRUE,185,260,30:30.0,30:30.0,
United States,214,80c17587-1891-48e1-9447-d53b553534f2,countries,44,TRUE,1660,1930,30:30.0,30:30.0,
South Carolina,215,0ad780d4-71a5-4e78-aaa6-7179179c2df8,states,45,TRUE,35,60,30:30.0,30:30.0,
California,216,36366d94-5082-45cc-a944-64fae1df349c,states,45,TRUE,830,860,30:30.0,30:30.0,
Kentucky,217,201bee57-70b5-4de3-be51-fadae4565455,states,45,TRUE,130,130,30:30.0,30:30.0,
New York,218,24302407-126c-41b9-a3bc-b26680604dc0,states,45,TRUE,140,180,30:30.0,30:30.0,
Pennsylvania,219,dce06153-aaaf-449e-b6ab-04a9d6a733de,states,45,TRUE,90,90,30:30.0,30:30.0,
Ohio,220,2cdd6453-a991-4468-a485-7b4fc7303868,states,45,TRUE,30,40,30:30.0,30:30.0,
Michigan,221,98c9211b-62eb-46e3-a10f-c1654f3c6468,states,45,TRUE,130,150,30:30.0,30:30.0,
New Jersey,222,32beca94-125a-4dbb-bc91-5ddbe8561024,states,45,TRUE,215,320,30:30.0,30:30.0,
Texas,223,94e1a62f-121b-4f0c-b2ca-2ffc178a8dc1,states,45,TRUE,60,100,30:30.0,30:30.0,
Information Technology,224,f4491b7b-ad9a-45cc-9945-939f9813ea9e,categories,46,TRUE,105,130,30:30.0,30:30.0,
Admin & Clerical,225,62fa1031-a980-42b0-ac1d-8821b5ee4c55,categories,46,TRUE,2315,2570,30:30.0,30:30.0,
Warehouse,226,9c23ef65-8626-4698-bcc6-632dfddb59f5,categories,46,TRUE,155,200,30:30.0,30:30.0,
Health Care,227,459ad407-2e2d-4b2e-be55-0fd47869be34,categories,46,TRUE,180,260,30:30.0,30:30.0,
Automotive,228,2fd11bdf-13a1-46ba-ac89-ac230d4d1e73,categories,46,TRUE,90,100,30:30.0,30:30.0,
Human Resources,229,c83bb386-c1a7-4778-b1c0-855c2b501b83,categories,46,TRUE,110,150,30:30.0,30:30.0,
Retail,230,32df426f-bad0-47a7-95f2-dc2d723cf915,industries,47,TRUE,15,20,30:30.0,30:30.0,
Hospital & Health Care,231,e4eefc3e-070f-4b86-9670-a2f452f6bb2c,industries,47,TRUE,180,260,30:30.0,30:30.0,
Consumer Electronics,232,bceda1e1-a110-4852-9036-6d044700898c,industries,47,TRUE,1430,1500,30:30.0,30:30.0,
